dataset,Chlorophyll_Sensor,Citation,Depth,ENA_BASE_COUNT,ENA_CHECKLIST,ENA_FASTQ_FILES,ENA_SAMPLE,ENA_SAMPLE_BASE_COUNT,ENA_SAMPLE_SPOT_COUNT,ENA_SPOT_COUNT,ENA_STUDY,ENA_SUBMISSION,Environment__Biome_,Environment__Feature_,Environment__Material_,Environmental_Package,Event_Date_Time_End,Event_Date_Time_Start,Event_Label,Further_Details,Last_Update_Date,Latitude_End,Latitude_Start,Longitude_End,Longitude_Start,Marine_Region,Nitrate_Sensor,Oxygen_Sensor,Project_Name,Protocol_Label,Salinity_Sensor,Sample_Collection_Device,Sample_Status,Sampling_Campaign,Sampling_Platform,Station,Size_Fraction_Lower_Threshold,Size_Fraction_Upper_Threshold,Temperature,Region,fraction
ERR599005,0.0,tbd,800,19407602934,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599005,ERS490507,28352910806,143977072,99201488,ERP001736,ERA357871,marine biome (ENVO:00000447),mesopelagic zone (ENVO:00000213),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-10-06T12:45,2010-10-06T07:58:54,TARA_20101006T0759Z_072_Combined-EVENTS_CAST,tbd,2014-05-01Z,-8.7887,-8.7986,-17.9142,-17.9034,n/a,38.448475,143.1955,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,34.472575,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20101003Z,SV Tara,TARA_072,0.22,3.0,4.673875,SAO,BACT
ERR594326,0.319103,tbd,5,37403870771,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594326,ERS492738,37515906653,187755662,187470886,ERP001737,ERA356217,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-07-31T19:33,2011-07-31T17:20,TARA_20110731T1720Z_123_EVENT_PUMP,tbd,2014-05-01Z,-8.895099999999998,-8.9068,-140.3174,-140.283,"""(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)""",3.868407,189.758333,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.22-0.45,35.35948300000001,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20110726Z,SV Tara,TARA_123,0.22,0.45,26.576175,SPO,GIRUS
ERR599007,0.728939,tbd,40,26356523300,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599007,ERS492012,44825653991,204588052,132726859,ERP001736,ERA357871,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-04-22T23:45,2011-04-22T21:13,TARA_20110422T2113Z_102_EVENT_PUMP,tbd,2014-05-01Z,-5.2476,-5.2669,-85.3343,-85.2732,"""(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)""",20.328326999999998,103.91671099999999,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,34.900284,PUMP (High Volume Peristaltic Pump) with ECOTriplet,This version can be used to provide data discovery services,TARA_20110401Z,SV Tara,TARA_102,0.22,3.0,19.566254999999998,SPO,BACT
ERR594324,0.214573,tbd,65,12664210018,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594324,ERS490010,12664210018,62694109,62694109,ERP001737,ERA356217,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-07-08T08:50,2010-07-08T06:21,TARA_20100708T0621Z_064_EVENT_PUMP,tbd,2014-05-01Z,-29.5123,-29.5333,37.8586,37.9117,n/a,-0.11203099999999999,207.446227,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.1-0.22,35.33554500000001,PUMP (High Volume Peristaltic Pump) with ECOTriplet,This version can be used to provide data discovery services,TARA_20100624Z,SV Tara,TARA_064,0.1,0.22,22.250308999999998,IO,GIRUS
ERR594323,0.233673,tbd,5,33748168523,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594323,ERS492894,33844327020,174330737,174100100,ERP001737,ERA356217,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-08-08T19:54,2011-08-08T17:33,TARA_20110808T1733Z_125_EVENT_PUMP,tbd,2014-05-01Z,-8.894999999999998,-8.911099999999998,-142.6228,-142.5571,"""(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)""",4.985942,187.30283300000002,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.45-0.8,35.42773300000001,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20110726Z,SV Tara,TARA_125,0.45,0.8,26.780158,SPO,GIRUS
ERR599000,0.0,tbd,800,38254182062,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599000,ERS490633,44142188815,224225124,194617234,ERP001736,ERA357871,marine biome (ENVO:00000447),mesopelagic zone (ENVO:00000213),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-10-17T13:37,2010-10-17T09:05:05,TARA_20101017T0905Z_076_Combined-EVENTS_CAST,tbd,2014-05-01Z,-20.9724,-20.9315,-35.2742,-35.1794,"""(search radius=5 degrees) Marine Ecoregion:Trindade and Martin Vaz Islands (MRGID:21989), Marine Ecoregion:Eastern Brazil (MRGID:21990)""",34.58951500000001,192.1655,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,34.369275,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20101003Z,SV Tara,TARA_076,0.22,3.0,4.749588,SAO,BACT
ERR594321,0.150865,tbd,150,33835127058,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594321,ERS490602,33835127058,167500629,167500629,ERP001737,ERA356217,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-10-16T18:43,2010-10-16T16:58:37,TARA_20101016T1700Z_076_Combined-EVENTS_CAST,tbd,2014-05-01Z,-21.0675,-21.0292,-35.3923,-35.3498,"""(search radius=5 degrees) Marine Ecoregion:Trindade and Martin Vaz Islands (MRGID:21989), Marine Ecoregion:Eastern Brazil (MRGID:21990)""",0.580918,203.81483300000002,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.22-0.45,36.724683,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20101003Z,SV Tara,TARA_076,0.22,0.45,21.643283,SAO,GIRUS
ERR594320,0.215292,tbd,5,17828138624,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR594320,ERS490035,17853515310,88322772,88258112,ERP001737,ERA356217,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-07-12T09:00,2010-07-12T05:59,TARA_20100712T0559Z_065_EVENT_PUMP,tbd,2014-05-01Z,-35.2087,-35.1728,26.2932,26.2868,"""(search radius=5 degrees) Marine Province:Agulhas (MRGID:21760),  Marine Province:Northern New Zealand (MRGID:21786), Marine Ecoregion:Natal (MRGID:21805), Marine Ecoregion:Agulhas Bank (MRGID:21806)""",99999.0,207.0439,Tara Oceans expedition (2009-2013),GIRUS_NUC-dry_W0.1-0.22,35.44665999999999,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20100624Z,SV Tara,TARA_065,0.1,0.22,21.81684,IO,GIRUS
ERR599162,0.040695,tbd,5,36849297558,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599162,ERS493877,36849297558,185167291,185167291,ERP001736,ERA357871,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-12-21T17:30,2011-12-21T16:20,TARA_20111221T1620Z_140_EVENT_PUMP,tbd,2014-05-01Z,7.416,7.4122,79.31019999999998,-79.30169999999998,(search radius=5 degrees) Marine Ecoregion:Panama Bight (MRGID:21972),-3.7966860000000002,205.2885,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,28.919008,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20111124Z,SV Tara,TARA_140,0.22,3.0,26.62925,NPO,BACT
ERR599163,0.287892,tbd,5,23454289270,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599163,ERS491836,37209214068,186567128,117555141,ERP001736,ERA357871,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-04-15T16:25,2011-04-15T12:45,TARA_20110415T1245Z_100_EVENT_PUMP,tbd,2014-05-01Z,-12.9488,-13.0023,-96.0293,-95.9759,n/a,4.590737,200.233917,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,35.835267,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20110401Z,SV Tara,TARA_100,0.22,3.0,25.2512,SPO,BACT
ERR599160,0.319103,tbd,5,33651563993,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599160,ERS492733,33651563993,171142153,171142153,ERP001736,ERA357871,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-07-31T19:33,2011-07-31T17:20,TARA_20110731T1720Z_123_EVENT_PUMP,tbd,2014-05-01Z,-8.895099999999998,-8.9068,-140.3174,-140.283,"""(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)""",3.868407,189.758333,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,35.35948300000001,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20110726Z,SV Tara,TARA_123,0.22,3.0,26.576175,SPO,BACT
ERR599161,0.127609,tbd,120,9161429490,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599161,ERS492863,37199555018,185997522,45834609,ERP001736,ERA357871,marine biome (ENVO:00000447),marine epipelagic mixed layer (ENVO:xxxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-08-05T22:18,2011-08-05T17:31:19,TARA_20110805T1733Z_124_Combined-EVENTS_CAST,tbd,2014-05-01Z,-9.067,-9.0714,-140.6346,-140.5973,"""(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)""",4.458677,175.895625,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,35.797875,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20110726Z,SV Tara,TARA_124,0.22,3.0,25.221787,SPO,BACT
ERR599166,0.008351,tbd,590,35012444630,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599166,ERS494208,35012444630,177112313,177112313,ERP001736,ERA357871,marine biome (ENVO:00000447),mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2012-02-04T03:25,2012-02-02T18:36:58,TARA_20120202T1839Z_145_Combined-EVENTS_CAST,tbd,2014-05-01Z,39.0869,39.2392,-70.0111,-70.0343,"""(search radius=5 degrees) Marine Ecoregion:Gulf of Maine/Bay of Fundy (MRGID:21849), Marine Ecoregion:Virginian (MRGID:21853)""",19.854511,230.24915,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,34.969202,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20120126Z,SV Tara,TARA_145,0.22,3.0,5.067239,NAO,BACT
ERR599167,0.014107,tbd,340,17746855829,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599167,ERS488849,25493142871,129995612,91191543,ERP001736,ERA357871,marine biome (ENVO:00000447),mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-03-16T13:54,2010-03-16T06:13:30,TARA_20100316T0614Z_038_Combined-EVENTS_CAST,tbd,2014-05-01Z,18.9918,19.0351,64.5757,64.5638,n/a,22.444602,2.369225,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,36.021302,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20100309Z,SV Tara,TARA_038,0.22,1.6,14.987618,IO,BACT
ERR599164,0.0,tbd,1000,15076257095,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599164,ERS489987,23892694423,122466160,77554069,ERP001736,ERA357871,marine biome (ENVO:00000447),mesopelagic zone (ENVO:00000213),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-07-07T15:40,2010-07-07T12:13:35,TARA_20100707T1217Z_064_Combined-EVENTS_CAST,tbd,2014-05-01Z,-29.5082,-29.5046,37.9202,37.9599,n/a,99999.0,193.011,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,34.57915,ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles,This version can be used to provide data discovery services,TARA_20100624Z,SV Tara,TARA_064,0.22,3.0,7.6502,IO,BACT
ERR599165,0.324315,tbd,5,16861258758,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599165,ERS490327,24842765095,131377324,88675089,ERP001736,ERA357871,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2010-09-21T08:07,2010-09-21T06:55,TARA_20100921T0655Z_070_EVENT_PUMP,tbd,2014-05-01Z,-20.3976,-20.4091,-3.2009,-3.1759,n/a,0.16801300000000002,215.650833,Tara Oceans expedition (2009-2013),BACT_NUC-DNA(100L)_W0.22-3,36.376225,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20100905Z,SV Tara,TARA_070,0.22,3.0,19.776808,SAO,BACT
ERR599168,0.728939,tbd,40,13735585785,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599168,ERS492012,44825653991,204588052,48143741,ERP001736,ERA357871,marine biome (ENVO:00000447),deep chlorophyll maximum layer (ENVO:xxxxxxxx),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-04-22T23:45,2011-04-22T21:13,TARA_20110422T2113Z_102_EVENT_PUMP,tbd,2014-05-01Z,-5.2476,-5.2669,-85.3343,-85.2732,"""(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)""",20.328326999999998,103.91671099999999,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,34.900284,PUMP (High Volume Peristaltic Pump) with ECOTriplet,This version can be used to provide data discovery services,TARA_20110401Z,SV Tara,TARA_102,0.22,3.0,19.566254999999998,SPO,BACT
ERR599169,0.287892,tbd,5,8893821326,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR599169,ERS491836,37209214068,186567128,44682390,ERP001736,ERA357871,marine biome (ENVO:00000447),surface water layer (ENVO:00002042),"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)""",water,2011-04-15T16:25,2011-04-15T12:45,TARA_20110415T1245Z_100_EVENT_PUMP,tbd,2014-05-01Z,-12.9488,-13.0023,-96.0293,-95.9759,n/a,4.590737,200.233917,Tara Oceans expedition (2009-2013),BACT_NUC-RNA(10L-or-10min)_W0.22-3,35.835267,PUMP (High Volume Peristaltic Pump),This version can be used to provide data discovery services,TARA_20110401Z,SV Tara,TARA_100,0.22,3.0,25.2512,SPO,BACT
ERR315861,0.0419,tbd,5,7931520724,ERC000030,http://www.ebi.ac.uk/ena/data/view/reports/sra/fastq_files/ERR315861,ERS477979,16001570571,75080811,37310366,ERP001736,ERA242034,marine biome (ENVO:00000447),surface water (ENVO:00002042) layer,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",water,2009-11-18T10:46Z,2009-11-18T08:41Z,TARA_20091118T0841Z_023_EVENT_PUMP,tbd,2014-03-01Z,42.1874,42.2038,17.7189,17.715,"(search radius=5 degree) Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)",99999.0,221.457208,Tara Oceans,BACT_NUC-DNA(100L)_W0.22-1.6,38.201396,PUMP (High Volume Peristaltic Pump),This version is NOT FINAL but can be used to provide data discovery services,TARA_20091111Z,SV Tara,TARA_023,0.22,1.6,17.321979000000002,MS,BACT
